i,drand48()
1108,0.751321
1109,0.786716
1110,0.727639
1111,0.32624
1112,0.3454
1113,0.270338
1114,0.886705
1115,0.483204
1116,0.34219
1117,0.429391
1118,0.857912
1119,0.45725
1120,0.441828
1121,0.224122
1122,0.923117
1123,0.214331
1124,0.893024
1125,0.940692
1126,0.562849
1127,0.928692
1128,0.932247
1129,0.233135
1130,0.67931
1131,0.458608
1132,0.549636
1133,0.869865
1134,0.767137
1135,0.282543
1136,0.00771965
1137,0.0421635
1138,0.0300158
1139,0.440868
1140,0.512701
1141,0.643365
1142,0.304827
1143,0.253162
1144,0.946721
1145,0.0096122
1146,0.222067
1147,0.44847
1148,0.719603
1149,0.328522
1150,0.978476
1151,0.122629
1152,0.14961
1153,0.76412
1154,0.680142
1155,0.904895
1156,0.597538
1157,0.448744
1158,0.514675
1159,0.42355
1160,0.0726783
1161,0.879651
1162,0.190676
1163,0.670467
1164,0.62191
1165,0.0949169
1166,0.630738
1167,0.00670948
1168,0.376392
1169,0.845452
1170,0.88816
1171,0.170086
1172,0.239261
1173,0.0239499
1174,0.572789
1175,0.851269
1176,0.380732
1177,0.944195
1178,0.691683
1179,0.823838
1180,0.695405
1181,0.912952
1182,0.0372871
1183,0.636848
1184,0.355152
1185,0.519772
1186,0.969465
1187,0.913557
1188,0.447147
1189,0.446322
1190,0.345999
1191,0.0196333
1192,0.261455
1193,0.515637
1194,0.245247
1195,0.456917
1196,0.129918
1197,0.453058
1198,0.108709
1199,0.758816
1200,0.314982
1201,0.0952578
1202,0.702795
1203,0.880336
1204,0.503814
1205,0.882905
1206,0.378459
1207,0.324947
1208,0.132817
1209,0.618121
1210,0.0934124
1211,0.282963
1212,0.40703
1213,0.0124673
1214,0.48086
1215,0.388466
1216,0.29729
1217,0.237954
1218,0.406228
1219,0.866229
1220,0.508332
1221,0.906234
1222,0.282047
1223,0.634451
1224,0.878872
1225,0.914181
1226,0.322161
1227,0.666958
1228,0.569162
1229,0.82248
1230,0.649076
1231,0.67879
1232,0.834634
1233,0.683346
1234,0.0398606
1235,0.076707
1236,0.00118701
1237,0.95031
1238,0.252089
1239,0.471283
1240,0.226753
1241,0.624113
1242,0.535527
1243,0.75602
1244,0.736531
1245,0.591635
1246,0.659339
1247,0.46282
1248,0.890126
1249,0.0676333
1250,0.698431
1251,0.459502
1252,0.815614
1253,0.660686
1254,0.884149
1255,0.986607
1256,0.518981
1257,0.254493
1258,0.0700548
1259,0.976077
1260,0.641506
1261,0.163681
1262,0.157157
1263,0.757526
1264,0.139414
1265,0.820092
1266,0.107183
1267,0.858541
1268,0.549849
1269,0.142562
1270,0.717704
1271,0.129071
1272,0.588139
1273,0.202245
1274,0.987886
1275,0.867485
1276,0.199887
1277,0.419269
1278,0.844964
1279,0.763875
1280,0.92729
1281,0.307945
1282,0.984243
1283,0.0868963
1284,0.304818
1285,0.36079
1286,0.182456
1287,0.671749
1288,0.690921
1289,0.550655
1290,0.336751
1291,0.48222
1292,0.388634
1293,0.80026
1294,0.648797
1295,0.148191
1296,0.480955
1297,0.675137
1298,0.382797
1299,0.266389
1300,0.581803
1301,0.195711
1302,0.873085
1303,0.00672087
1304,0.708614
1305,0.623765
1306,0.415148
1307,0.815312
1308,0.949603
1309,0.0855544
1310,0.145061
1311,0.63999
1312,0.211966
1313,0.0664255
1314,0.376344
1315,0.031521
1316,0.484609
1317,0.908717
1318,0.328198
1319,0.867443
1320,0.0710189
1321,0.115513
1322,0.0309897
1323,0.993182
1324,0.688779
1325,0.297365
1326,0.0481244
1327,0.231439
1328,0.188889
1329,0.178197
1330,0.70031
1331,0.445372
1332,0.620769
1333,0.0214452
1334,0.73929
1335,0.38908
1336,0.110855
1337,0.860067
1338,0.992008
1339,0.191521
1340,0.390581
1341,0.866816
1342,0.80957
1343,0.513588
1344,0.112716
1345,0.327402
1346,0.213301
1347,0.725136
1348,0.346313
1349,0.862519
1350,0.265462
1351,0.166936
1352,0.805679
1353,0.55973
1354,0.316179
1355,0.505394
1356,0.616738
1357,0.437797
1358,0.629843
1359,0.934541
1360,0.377046
1361,0.480033
1362,0.291284
1363,0.124943
1364,0.248642
1365,0.285735
1366,0.879704
1367,0.223155
1368,0.114347
1369,0.0368278
1370,0.900472
1371,0.244192
1372,0.909281
1373,0.937958
1374,0.433103
1375,0.0147267
1376,0.0450772
1377,0.930538
1378,0.517967
1379,0.573622
1380,0.0120211
1381,0.313598
1382,0.922511
1383,0.041837
1384,0.36505
1385,0.826002
1386,0.636185
1387,0.374121
1388,0.167178
1389,0.795772
1390,0.606054
1391,0.804405
1392,0.825447
1393,0.573578
1394,0.284662
1395,0.915067
1396,0.0602408
1397,0.710131
1398,0.788616
1399,0.0827389
1400,0.401953
1401,0.173289
1402,0.20916
1403,0.0808627
1404,0.216152
1405,0.432551
1406,0.551529
1407,0.118587
1408,0.378936
1409,0.959541
1410,0.162922
1411,0.848858
1412,0.620969
1413,0.736834
1414,0.422625
1415,0.433698
1416,0.447476
1417,0.758419
1418,0.0731523
1419,0.675066
1420,0.841202
1421,0.408338
1422,0.357614
1423,0.334515
1424,0.538076
1425,0.575211
1426,0.163215
1427,0.918796
1428,0.106324
1429,0.595726
1430,0.54933
1431,0.511954
1432,0.887244
1433,0.706708
1434,0.334639
1435,0.313337
1436,0.801359
1437,0.850575
1438,0.133096
1439,0.786856
1440,0.271694
1441,0.0410108
1442,0.242937
1443,0.147004
1444,0.954203
1445,0.313368
1446,0.814484
1447,0.974507
1448,0.434727
1449,0.70699
1450,0.537349
1451,0.257373
1452,0.59622
1453,0.0444474
1454,0.810013
1455,0.0457719
1456,0.476424
1457,0.1662
1458,0.677027
1459,0.161255
1460,0.324899
1461,0.0697619
1462,0.261815
1463,0.247689
1464,0.382626
1465,0.301954
1466,0.584789
1467,0.643897
1468,0.00377639
1469,0.313825
1470,0.46408
1471,0.613021
1472,0.927207
1473,0.0534655
1474,0.154475
1475,0.913185
1476,0.297527
1477,0.226048
1478,0.822072
1479,0.33608
1480,0.898007
1481,0.667324
1482,0.289052
1483,0.988052
1484,0.659081
1485,0.571688
1486,0.453795
1487,0.821241
1488,0.968828
1489,0.694289
1490,0.714007
1491,0.335035
1492,0.460809
1493,0.5549
1494,0.73987
1495,0.820949
1496,0.568241
1497,0.446268
1498,0.284197
1499,0.892918
1500,0.193273
1501,0.168965
1502,0.928969
1503,0.971575
1504,0.780508
1505,0.746505
1506,0.882217
1507,0.532594
1508,0.0427274
1509,0.42752
1510,0.11412
1511,0.208363
1512,0.654755
1513,0.455459
1514,0.292458
1515,0.687791
1516,0.702502
1517,0.920668
1518,0.509505
1519,0.994804
1520,0.295583
1521,0.435455
1522,0.627437
1523,0.361991
1524,0.973598
1525,0.961148
1526,0.977835
1527,0.037115
1528,0.761651
1529,0.329174
1530,0.981592
1531,0.967897
1532,0.566275
1533,0.438247
1534,0.185172
1535,0.171118
1536,0.108312
1537,0.770143
1538,0.992625
1539,0.487987
1540,0.527081
1541,0.380984
1542,0.593073
1543,0.406646
1544,0.87621
1545,0.41786
1546,0.901626
1547,0.258189
1548,0.884765
1549,0.147061
1550,0.737169
1551,0.693719
1552,0.949832
1553,0.515805
1554,0.520547
1555,0.271444
1556,0.433662
1557,0.100438
1558,0.886825
1559,0.835098
1560,0.988304
1561,0.507551
1562,0.239296
1563,0.273883
1564,0.0546073
1565,0.617876
1566,0.232269
1567,0.111372
1568,0.565301
1569,0.614287
1570,0.834536
1571,0.0835928
1572,0.611145
1573,0.273603
1574,0.203597
1575,0.607668
1576,0.745774
1577,0.176563
1578,0.378453
1579,0.500391
1580,0.252709
1581,0.0912983
1582,0.390301
1583,0.93509
1584,0.0742497
1585,0.993645
1586,0.98812
1587,0.894795
1588,0.906675
1589,0.823868
1590,0.8005
1591,0.025411
1592,0.852777
1593,0.855856
1594,0.50472
1595,0.065312
1596,0.847622
1597,0.324039
1598,0.875781
1599,0.9441
1600,0.14619
1601,0.95838
1602,0.446779
1603,0.235425
1604,0.494829
1605,0.20257
1606,0.760606
1607,0.214648
1608,0.168148
1609,0.90948
1610,0.742681
1611,0.125124
1612,0.00798818
1613,0.135931
1614,0.814445
1615,0.976235
1616,0.573493
1617,0.601694
1618,0.815135
1619,0.876542
1620,0.826305
1621,0.381593
1622,0.250362
1623,0.407144
1624,0.710808
1625,0.301509
1626,0.563884
1627,0.239252
1628,0.0276031
1629,0.28659
1630,0.0854832
1631,0.237931
1632,0.0735786
1633,0.931197
1634,0.672837
1635,0.828006
1636,0.271743
1637,0.833826
1638,0.296835
1639,0.851203
1640,0.0292453
1641,0.665862
1642,0.453934
1643,0.454147
1644,0.136624
1645,0.560636
1646,0.19025
1647,0.418964
1648,0.402445
1649,0.649457
1650,0.132437
1651,0.501697
1652,0.855203
1653,0.505375
1654,0.510586
1655,0.763841
1656,0.642102
1657,0.84543
1658,0.0769696
1659,0.0700534
1660,0.818454
1661,0.190383
1662,0.748236
1663,0.147094
1664,0.111574
1665,0.780798
1666,0.982528
1667,0.137488
1668,0.721836
1669,0.033444
1670,0.429929
1671,0.984188
1672,0.506897
1673,0.216907
1674,0.425786
1675,0.313102
1676,0.901832
1677,0.994886
1678,0.921071
1679,0.56777
1680,0.53023
1681,0.585761
1682,0.529434
1683,0.839625
1684,0.234278
1685,0.71379
1686,0.412383
1687,0.238288
1688,0.723922
1689,0.367732
1690,0.695904
1691,0.385403
1692,0.947667
1693,0.864276
1694,0.315359
1695,0.0840535
1696,0.805205
1697,0.454633
1698,0.500723
1699,0.821188
1700,0.842303
1701,0.971657
1702,0.249074
1703,0.175432
1704,0.932329
1705,0.941544
1706,0.871859
1707,0.615774
1708,0.700133
1709,0.468271
1710,0.165106
1711,0.541913
1712,0.0800172
1713,0.721437
1714,0.623834
1715,0.704269
1716,0.120252
1717,0.340092
1718,0.92789
1719,0.586205
1720,0.105459
1721,0.718574
1722,0.263978
1723,0.683786
1724,0.621574
1725,0.317775
1726,0.844533
1727,0.396053
1728,0.145615
1729,0.589811
1730,0.743095
1731,0.973529
1732,0.616789
1733,0.199555
1734,0.221152
1735,0.462383
1736,0.702425
1737,0.247353
1738,0.483958
1739,0.139755
1740,0.780739
1741,0.558478
1742,0.0120589
1743,0.641422
1744,0.144603
1745,0.612164
1746,0.588409
1747,0.930802
1748,0.411496
1749,0.782728
1750,0.0235962
1751,0.808846
1752,0.382989
1753,0.594168
1754,0.597488
1755,0.693359
1756,0.613878
1757,0.125346
1758,0.936225
1759,0.545568
1760,0.161032
1761,0.413521
1762,0.558899
1763,0.748381
1764,0.522858
1765,0.198426
1766,0.616436
1767,0.367663
1768,0.74277
1769,0.0266552
1770,0.442231
1771,0.993518
1772,0.328234
1773,0.136929
1774,0.804343
1775,0.466995
1776,0.777774
1777,0.60147
1778,0.134785
1779,0.468667
1780,0.562146
1781,0.478518
1782,0.283298
1783,0.664502
1784,0.775801
1785,0.697942
1786,0.34942
1787,0.872217
1788,0.967464
1789,0.658377
1790,0.0646588
1791,0.294662
1792,0.933524
1793,0.0536053
1794,0.78078
1795,0.0478123
1796,0.277756
1797,0.901764
1798,0.953805
1799,0.0375246
1800,0.0214754
1801,0.647751
1802,0.757365
1803,0.274893
1804,0.408517
1805,0.212073
1806,0.102803
1807,0.293812
1808,0.661451
1809,0.0238847
1810,0.454277
1811,0.791036
1812,0.884505
1813,0.0984806
1814,0.800586
1815,0.558916
1816,0.602915
1817,0.686858
1818,0.455152
1819,0.350081
1820,0.809495
1821,0.6648
1822,0.803306
1823,0.393248
1824,0.541534
1825,0.759297
1826,0.08162
1827,0.777251
1828,0.322448
1829,0.689926
1830,0.965501
1831,0.00921593
1832,0.613782
1833,0.981322
1834,0.444805
1835,0.420949
1836,0.278045
1837,0.370331
1838,0.79698
1839,0.199249
1840,0.948616
1841,0.568254
1842,0.615737
1843,0.12067
1844,0.839719
1845,0.466326
1846,0.84086
1847,0.314596
1848,0.560578
