x[i+k],x[i]
0.904932,0.297288
0.873979,0.909643
0.5762,0.498144
0.273911,0.162757
0.492399,0.864579
0.848942,0.463662
0.291053,0.495977
0.684178,0.180421
0.139058,0.72755
0.492422,0.603109
0.724252,0.838134
0.221966,0.178208
0.121259,0.498525
0.360443,0.138238
0.931895,0.324807
0.622095,0.908485
0.818128,0.836828
0.334972,0.496074
0.658831,0.394327
0.258906,0.608883
0.072545,0.15123
0.647207,0.107848
0.28827,0.363598
0.0911486,0.331386
0.934495,0.427328
0.265461,0.58357
0.761778,0.658747
0.157272,0.487427
0.625665,0.883037
0.207844,0.517715
0.426199,0.557561
0.394388,0.829939
0.326013,0.244327
0.638654,0.72936
0.338243,0.984845
0.136075,0.89756
0.00540855,0.410788
0.774386,0.783282
0.114668,0.293678
0.721006,0.865535
0.449105,0.0491625
0.707909,0.986467
0.473894,0.210883
0.0939195,0.865181
0.382896,0.0995593
0.65712,0.301763
0.131702,0.809095
0.0534223,0.0515083
0.780868,0.457716
0.44256,0.692076
0.589637,0.119111
0.529899,0.578635
0.361917,0.595045
0.888723,0.304285
0.16982,0.476585
0.525747,0.609729
0.596196,0.618925
0.829808,0.233656
0.0988374,0.0700902
0.16965,0.923728
0.225491,0.481733
0.290829,0.826769
0.878278,0.357193
0.814909,0.344251
0.0363274,0.659146
0.778257,0.257469
0.836104,0.625964
0.221009,0.308157
0.612442,0.198021
0.674605,0.109733
0.719462,0.782262
0.401188,0.200352
0.434009,0.315658
0.385748,0.230996
0.154724,0.532846
0.0145793,0.555398
0.382167,0.380215
0.737408,0.305408
0.649659,0.260445
0.919591,0.552316
0.809785,0.685986
0.31195,0.697848
0.00600477,0.645889
0.84391,0.53296
0.642693,0.618447
0.400709,0.518515
0.718867,0.362154
0.677812,0.801897
0.0328927,0.152876
0.685722,0.0635606
0.618958,0.187616
0.567831,0.700301
0.00570914,0.00112548
0.26157,0.305239
0.857555,0.655368
0.341354,0.181161
0.879009,0.667341
0.31323,0.653305
0.186265,0.885014
0.503461,0.157139
0.675654,0.828957
0.191112,0.90417
0.706067,0.394521
0.547397,0.868924
0.932485,0.738959
0.926576,0.233119
0.93342,0.551443
0.552568,0.494407
0.799646,0.939129
0.594497,0.814139
0.9953,0.657201
0.324541,0.935852
0.589157,0.874309
0.759324,0.637771
0.79491,0.775421
0.604379,0.262785
0.166955,0.470564
0.865086,0.79549
0.664414,0.873021
0.611981,0.412483
0.645601,0.596899
0.148342,0.538557
0.0329634,0.579022
0.518151,0.70091
0.515049,0.832609
0.48981,0.112648
0.0484997,0.510349
0.384658,0.814351
0.452122,0.637656
0.413078,0.143982
0.406767,0.247033
0.717597,0.0174566
0.812947,0.573721
0.446743,0.582682
0.995165,0.477361
0.0742604,0.0587232
0.59728,0.640766
0.219788,0.222602
0.923513,0.630243
0.462852,0.737939
0.850586,0.438562
0.948911,0.952662
0.767014,0.899086
0.536742,0.333569
0.477551,0.219136
0.466169,0.94982
0.967277,0.884318
0.458039,0.183765
0.766448,0.780224
0.257585,0.904782
0.963505,0.761612
0.402379,0.331846
0.554448,0.560785
0.191028,0.622167
0.360105,0.477961
0.916523,0.65388
0.606542,0.210692
0.109778,0.865434
0.199003,0.373556
0.592692,0.64652
0.596341,0.676554
0.560872,0.0588605
0.242626,0.563617
0.343841,0.0189108
0.923692,0.00907344
0.770686,0.601427
0.933273,0.887197
0.447982,0.173065
0.795231,0.487721
0.965682,0.639009
0.292889,0.155336
0.366028,0.882204
0.747638,0.899431
0.272987,0.475806
0.122326,0.94664
0.623194,0.865679
0.92454,0.718666
0.282284,0.184066
0.202977,0.167165
0.176239,0.626125
0.227552,0.126669
0.0138663,0.946925
0.119989,0.160824
0.648545,0.461848
0.100857,0.915221
0.070557,0.614227
0.496431,0.393746
0.293177,0.436585
0.912391,0.244069
0.190709,0.566164
0.431844,0.0347164
0.753383,0.813904
0.99797,0.356383
0.523548,0.0356664
0.661792,0.200947
0.327616,0.699787
0.646712,0.889343
0.0501679,0.341482
0.80333,0.766701
0.681922,0.698713
0.31294,0.904187
0.297933,0.752479
0.189064,0.809371
0.0534394,0.591111
0.157275,0.101454
0.136171,0.244149
0.0580523,0.589119
0.945502,0.889553
0.92522,0.0560222
0.256969,0.46905
0.168837,0.587011
0.476355,0.584585
0.926068,0.815549
0.58225,0.526523
0.225236,0.729398
0.633585,0.264172
0.0166506,0.538175
0.347546,0.931518
0.522629,0.205714
0.307168,0.400985
0.645134,0.679904
0.269022,0.443339
0.332892,0.703186
0.759208,0.214524
0.683574,0.258112
0.845123,0.0161775
0.600763,0.852411
0.66796,0.321478
0.848,0.52683
0.256228,0.25021
0.514382,0.0732357
0.611411,0.889813
0.821331,0.531033
0.736747,0.958957
0.359942,0.343959
0.0238632,0.0439153
0.487254,0.0050762
0.708262,0.292886
0.50741,0.820146
0.0782579,0.467471
0.483648,0.190984
0.0433947,0.923381
0.244858,0.084411
0.611241,0.711355
0.961565,0.0928584
0.166094,0.867469
0.757282,0.475947
0.00698012,0.777505
0.736462,0.578613
0.922572,0.743727
0.787642,0.0964041
0.10148,0.946435
0.239321,0.274897
0.0950427,0.809743
0.277214,0.74673
0.937714,0.173301
0.0966814,0.760862
0.845273,0.981109
0.692463,0.34154
0.434398,0.456514
0.323983,0.654029
0.129976,0.600492
0.377997,0.081265
0.659878,0.136956
0.880683,0.114459
0.210863,0.58245
0.528885,0.668326
0.943222,0.312343
0.122086,0.768206
0.514936,0.0382648
0.211565,0.3993
0.160162,0.45265
0.433758,0.308247
0.649787,0.00543489
0.461949,0.126222
0.780251,0.0841846
0.684677,0.785932
0.867197,0.910227
0.0471826,0.0626739
0.177133,0.527075
0.109525,0.927866
0.596191,0.387996
0.70034,0.638409
0.406615,0.539413
0.577678,0.822426
0.221726,0.921551
0.374201,0.789244
0.0974906,0.381888
0.387323,0.807959
0.934181,0.747277
0.831462,0.849272
0.635204,0.714432
0.624658,0.516139
0.578813,0.502401
0.0294762,0.671841
0.599707,0.755945
0.143942,0.139001
0.77741,0.195898
0.735311,0.844281
0.666707,0.184025
0.105576,0.31299
0.102233,0.888433
0.270321,0.479777
0.287736,0.199724
0.947001,0.657643
0.506915,0.221918
0.936349,0.778463
0.294601,0.142119
0.64452,0.561007
0.232848,0.873414
0.629359,0.673996
0.812997,0.832555
0.0284525,0.773301
0.617582,0.590407
0.774432,0.763764
0.0767534,0.284289
0.172722,0.880009
0.359786,0.178987
0.37871,0.443043
0.100686,0.647522
0.86944,0.325711
0.104174,0.6076
0.749719,0.805789
0.366796,0.398775
0.272189,0.394239
0.0682348,0.599644
0.432199,0.901549
0.67485,0.881232
0.471639,0.460652
0.224415,0.292432
0.576721,0.246071
0.12608,0.301169
0.480156,0.749443
0.192486,0.485866
0.133388,0.858866
0.184577,0.293171
0.900772,0.00282779
0.808617,0.288752
0.687527,0.650491
0.0447295,0.175413
0.775058,0.959716
0.861265,0.112964
0.994196,0.207257
0.667908,0.536115
0.828546,0.465835
0.711906,0.892324
0.193493,0.405267
0.154711,0.837986
0.323852,0.673648
0.532514,0.347196
0.640368,0.45724
0.460067,0.717092
0.00584319,0.54114
0.19163,0.268684
0.444097,0.69337
0.653087,0.23636
0.349324,0.219155
0.426412,0.514352
0.0504663,0.34352
0.809355,0.0943199
0.986644,0.879013
0.28428,0.521261
0.359247,0.180136
0.853785,0.43899
0.786187,0.683098
0.140338,0.386299
0.10339,0.426555
0.967694,0.600405
0.86909,0.109233
0.802604,0.159324
0.395684,0.313187
0.532342,0.45569
0.970042,0.745008
0.0885283,0.958753
0.0530733,0.0205084
0.899521,0.897883
0.419144,0.039717
0.219853,0.183801
0.622791,0.778391
0.461489,0.0736379
0.459937,0.408978
0.835533,0.601827
0.202232,0.563327
0.67256,0.803227
0.962551,0.071322
0.384509,0.475164
0.930854,0.358235
0.103244,0.916851
0.875604,0.900896
0.921405,0.191772
0.089655,0.928678
0.968395,0.820926
0.00472651,0.508799
0.287189,0.188248
0.261886,0.627518
0.0364959,0.748678
0.350505,0.721822
0.285149,0.872028
0.675255,0.552738
0.62406,0.957709
0.432873,0.637806
0.996042,0.00856861
0.92542,0.363727
0.264624,0.0992851
0.291057,0.801024
0.729702,0.186029
0.00695418,0.380712
0.889511,0.698096
0.886344,0.0116807
0.639199,0.1767
0.925379,0.14823
0.870053,0.675694
0.547723,0.275884
0.828622,0.155202
0.112911,0.222978
0.860784,0.452681
0.46125,0.545784
0.909512,0.856826
0.956111,0.386669
0.187693,0.174136
0.360164,0.247168
0.62788,0.917395
0.615491,0.367118
0.378799,0.517391
0.694091,0.501835
0.650066,0.0179977
0.693692,0.61947
0.895354,0.520118
0.67532,0.241415
0.464393,0.723975
0.176656,0.788231
0.334016,0.325177
0.182003,0.637906
0.0245755,0.243528
0.417663,0.138114
0.385282,0.212269
0.129663,0.777828
0.144946,0.0131615
0.530552,0.745154
0.24699,0.523745
0.541743,0.224643
0.844113,0.897055
0.417174,0.235435
0.47685,0.739467
0.463442,0.0924937
0.880725,0.941243
0.26642,0.640098
0.278005,0.214741
0.458269,0.448423
0.586537,0.30258
0.514849,0.875932
0.65376,0.971818
0.98498,0.644512
0.389667,0.798706
0.322451,0.515532
0.740175,0.636656
0.533712,0.864194
0.0996293,0.584288
0.323755,0.950885
0.043379,0.576479
0.517722,0.787197
0.427295,0.924104
0.138845,0.784142
0.232565,0.7053
0.00788008,0.597114
0.473045,0.819102
0.79092,0.522729
0.167241,0.126805
0.925511,0.775899
0.291431,0.556908
0.193564,0.247962
0.112157,0.0316064
0.615894,0.727276
0.678161,0.211786
0.788265,0.939649
0.726846,0.72154
0.645644,0.305987
0.0901297,0.154141
0.859441,0.784489
0.381603,0.322695
0.141796,0.867321
0.39005,0.854648
0.981453,0.932716
0.708616,0.557291
0.114199,0.906964
0.154927,4.68777e-05
0.0316532,0.307763
0.0350389,0.267083
0.478869,0.647548
0.587197,0.7132
0.43474,0.267134
0.573122,0.314043
0.468185,0.080384
0.864873,0.663252
0.985946,0.327626
0.194948,0.246476
0.101124,0.127743
0.0604589,0.584998
0.142289,0.082577
0.989541,0.769074
0.769121,0.256489
0.564252,0.144468
0.411551,0.800775
0.448322,0.599291
0.312491,0.89042
0.157555,0.0355193
0.349562,0.747231
0.827615,0.730677
0.393928,0.817747
0.145373,0.692488
0.938963,0.379874
0.507617,0.340321
0.925318,0.0400871
0.122664,0.568076
0.33715,0.0676078
0.324096,0.112205
0.256673,0.106272
0.907046,0.888348
0.487639,0.668224
0.558645,0.355369
0.390888,0.800129
0.54736,0.716199
0.446876,0.74045
0.558198,0.374975
0.0674623,0.840804
0.220679,0.703571
0.0438913,0.0064256
0.0465127,0.728296
0.296372,0.96921
0.0368176,0.169177
0.281382,0.633522
0.739794,0.360914
0.249262,0.538055
0.20628,0.64684
0.00220922,0.736901
0.53703,0.764925
0.481124,0.393097
0.133548,0.0843902
0.459365,0.928
0.768804,0.691745
0.395316,0.526827
0.533253,0.989483
0.717778,0.439207
0.408417,0.579765
0.748942,0.0141502
0.647672,0.445235
0.806149,0.030324
0.568379,0.387466
0.0343068,0.0554106
0.792311,0.774659
0.539584,0.036516
0.429613,0.329342
0.413732,0.0207081
0.948708,0.563161
0.254906,0.873097
0.399924,0.717512
0.706995,0.650222
0.0894297,0.933176
0.512941,0.424774
0.438924,0.497847
0.943081,0.261883
0.292207,0.0865962
0.474063,0.74923
0.804641,0.860587
0.635246,0.508369
0.544885,0.596952
0.926294,0.17483
0.195538,0.974499
0.53766,0.340026
0.213122,0.144246
0.861759,0.792566
0.442789,0.613046
0.546222,0.568754
0.993528,0.532218
0.0300651,0.0591633
0.321047,0.432452
0.519048,0.973147
0.722377,0.613254
0.473841,0.99311
0.50148,0.527017
0.123969,0.109087
0.283917,0.0463652
0.0208639,0.0502633
0.390289,0.479455
0.623701,0.558524
0.35109,0.603411
0.216457,0.48546
0.054214,0.793879
0.326097,0.762679
0.821842,0.0477418
0.480193,0.356162
0.329309,0.142889
0.756143,0.999241
0.992352,0.0516852
0.578702,0.229984
0.339071,0.493831
0.540197,0.702672
0.752935,0.622988
0.102443,0.56106
0.119584,0.143224
0.746635,0.726144
0.211604,0.470674
0.264553,0.963092
0.725771,0.265818
0.31356,0.590649
0.946811,0.547613
0.690502,0.793753
0.792995,0.27612
0.327805,0.446645
0.676628,0.785346
0.279178,0.906508
0.609179,0.0156992
0.638687,0.819374
0.380434,0.362115
0.505339,0.74113
0.467274,0.500019
0.970693,0.251974
0.215066,0.678878
0.944697,0.235245
0.825895,0.940837
0.48845,0.258257
0.0520103,0.772706
0.0488258,0.178952
0.625596,0.845005
0.630351,0.376631
0.283138,0.302225
0.317924,0.909529
0.728903,0.892318
0.254432,0.956611
0.697741,0.109337
0.609356,0.759771
0.0117453,0.165015
0.843894,0.580048
0.815294,0.226811
0.167648,0.78859
0.0468473,0.641188
0.413894,0.656098
0.83505,0.0988576
0.943863,0.46272
0.839351,0.460646
0.762871,0.574214
0.483742,0.122489
0.0148069,0.0807953
0.0374063,0.212645
0.321982,0.269239
0.0290106,0.735147
0.900163,0.931338
0.511386,0.0407559
0.267567,0.744056
0.532647,0.32668
0.967868,0.435216
0.0913142,0.579494
0.678351,0.381762
0.844482,0.926364
0.387011,0.622214
0.196428,0.683833
0.806322,0.149882
0.230677,0.68017
0.892815,0.821129
0.0903681,0.268084
0.00323105,0.214797
0.146135,0.119379
0.160135,0.903394
0.64745,0.657522
0.984202,0.427702
0.862918,0.180096
0.75959,0.95207
0.333832,0.954232
0.880596,0.437942
0.0601557,0.178314
0.862147,0.267607
0.417489,0.256583
0.936754,0.668469
0.489597,0.648167
0.91625,0.829569
0.0443661,0.579965
0.699344,0.919481
0.822875,0.190501
0.848023,0.859479
0.287181,0.470325
0.650421,0.832225
0.784295,0.150099
0.104331,0.410011
0.847953,0.118126
0.29644,0.984927
0.252535,0.908109
0.164692,0.158587
0.827056,0.670024
0.318191,0.101446
0.931014,0.316653
0.896618,0.234441
0.153923,0.97538
0.165882,0.595963
0.455442,0.976798
0.447123,0.0139049
0.84613,0.742623
0.892721,0.0975437
0.507555,0.630424
0.748551,0.997052
0.98198,0.355508
0.263617,0.044991
0.203578,0.234514
0.904539,0.428309
0.529754,0.0306337
0.347287,0.222729
0.457171,0.460768
0.436149,0.243905
0.839868,0.611093
0.587891,0.60203
0.615935,0.295309
0.037932,0.0350138
0.132558,0.462065
0.0924893,0.930653
0.927706,0.640113
0.99562,0.84104
0.886031,0.909686
0.1442,0.259237
0.687546,0.089609
0.120243,0.0487385
0.271468,0.2173
0.678068,0.467529
0.711434,0.728638
0.339732,0.114216
0.716247,0.551302
0.846611,0.927623
0.962637,0.332182
0.794247,0.884543
0.815197,0.0951945
0.735307,0.886736
0.727776,0.742903
0.652588,0.730928
0.990165,0.613807
0.703416,0.796788
0.845527,0.67771
0.89501,0.823659
0.291188,0.116995
0.845633,0.573077
0.687294,0.00262258
0.553925,0.185365
0.112988,0.403541
0.735723,0.400536
0.28508,0.0756249
0.170819,0.52997
0.416706,0.100276
0.843179,0.906126
0.637054,0.144482
0.75829,0.495767
0.292555,0.627219
0.304929,0.461706
0.285365,0.138082
0.255076,0.199938
0.773016,0.576553
0.579176,0.100709
0.286074,0.460309
0.86385,0.1331
0.533636,0.399062
0.474687,0.599573
0.129542,0.818716
0.918992,0.645506
0.551633,0.546248
0.690731,0.762171
0.257939,0.188687
0.815905,0.44902
0.910726,0.550494
0.688576,0.120834
0.320772,0.196091
0.772644,0.943652
0.0443619,0.0937877
0.554097,0.351819
0.484919,0.330436
0.729499,0.417947
0.0175198,0.0185558
0.837272,0.204186
0.849692,0.147062
0.693311,0.756264
0.518436,0.401325
0.590012,0.384041
0.833062,0.776374
0.326868,0.405917
0.526751,0.743788
0.939879,0.0154439
0.959096,0.847523
0.941311,0.712522
0.0643416,0.00345808
0.333894,0.495408
0.913355,0.549261
0.567817,0.0633928
0.267578,0.930875
0.0779371,0.405089
0.161353,0.117271
0.518596,0.771248
0.155289,0.679788
0.456162,0.108608
0.514525,0.988351
0.732138,0.78303
0.798474,0.041276
0.888799,0.672017
0.384539,0.757571
0.761029,0.83011
0.325518,0.448881
0.998142,0.094923
0.158316,0.238873
0.169748,0.565959
0.971047,0.425894
0.543165,0.247685
0.0189329,0.1324
0.812189,0.0617606
0.170368,0.174222
0.162572,0.268351
0.0513816,0.684893
0.726169,0.894711
0.566728,0.849856
0.607427,0.614968
0.445079,0.951267
0.400148,0.368455
0.463378,0.770597
0.00947013,0.39829
0.964248,0.621694
0.0475882,0.179218
0.426904,0.935296
0.067696,0.590753
0.652514,0.445836
0.620058,0.879885
0.148236,0.822882
0.507775,0.782631
0.677342,0.199617
0.0494732,0.233944
0.848912,0.244069
0.195336,0.6569
0.0253549,0.293991
0.0645876,0.595484
0.993774,0.488733
0.110427,0.0740577
0.253276,0.958022
0.893318,0.158015
0.748768,0.68018
0.126016,0.961014
0.840899,0.401282
0.224164,0.746075
0.528705,0.989134
0.188752,0.731938
0.965882,0.206047
0.450117,0.238225
0.895125,0.814794
0.108785,0.645453
0.240937,0.92048
0.409213,0.173373
0.247431,0.234711
0.192734,0.51964
0.677655,0.500707
0.180886,0.0860517
0.0470658,0.426423
0.827705,0.306902
0.0529768,0.887965
0.877099,0.0518689
0.783807,0.581682
0.787729,0.0658506
0.304075,0.74969
0.564484,0.237846
0.883299,0.1992
0.119679,0.673269
0.846642,0.124236
0.358948,0.528892
0.0485317,0.0940727
0.594779,0.551681
0.637733,0.726187
0.15261,0.775665
0.0825677,0.684799
0.572763,0.980315
0.0321839,0.135545
0.717227,0.449862
0.515713,0.815991
0.565681,0.504956
0.742802,0.819788
0.0189879,0.130165
0.803434,0.626101
0.750337,0.138667
0.667559,0.650077
0.744149,0.109285
0.660966,0.716091
0.442278,0.338929
0.114594,0.298698
0.983497,0.594888
0.575203,0.197162
0.332706,0.55626
0.00612195,0.607387
0.423378,0.0499329
0.554889,0.521834
0.341622,0.989059
0.119224,0.297691
0.923792,0.36061
0.499278,0.922658
0.572735,0.674129
0.783413,0.166837
0.882928,0.316884
0.655813,0.444379
0.743078,0.325206
0.920094,0.770407
0.967568,0.726575
0.282835,0.495297
0.102683,0.300275
0.350207,0.288957
0.810791,0.526061
0.51512,0.905096
0.202787,0.152413
0.513024,0.634344
0.557002,0.126579
0.800708,0.0123013
0.179138,0.129737
0.446622,0.584121
0.0285004,0.0620666
0.387273,0.102434
0.872841,0.771578
0.498153,0.307366
0.802663,0.840409
0.140684,0.780987
0.0699438,0.905346
0.431407,0.490891
0.395988,0.880735
0.0331482,0.946527
0.580872,0.598775
0.725354,0.546172
0.558473,0.137874
0.267611,0.526062
0.110183,0.737611
0.799678,0.714233
0.816667,0.138684
0.910262,0.186951
0.494317,0.689509
0.529918,0.408414
0.189401,0.29698
0.202326,0.670602
0.161494,0.259345
0.14008,0.633734
0.580261,0.557481
0.156257,0.173228
0.7194,0.161133
0.299007,0.881611
0.407673,0.277873
0.0154844,0.566618
0.280851,0.517856
0.65654,0.815162
0.00211305,0.0975185
0.787027,0.566801
0.975215,0.49643
0.79341,0.316945
0.987547,0.164617
0.423962,0.995737
0.629471,0.149041
0.706522,0.564042
0.73727,0.209732
0.370865,0.862779
0.74439,0.45667
0.734543,0.669871
0.23649,0.152062
0.669918,0.750027
0.565189,0.517341
0.614859,0.326458
0.893259,0.567302
0.0637327,0.401886
0.718831,0.868474
0.0330907,0.857143
0.85288,0.706378
0.855419,0.457052
0.021094,0.48235
0.692082,0.561941
0.42472,0.758364
0.215033,0.0629468
0.732818,0.169109
0.321172,0.949576
0.699603,0.969308
0.486648,0.99109
0.317548,0.264793
0.832095,0.101507
0.503394,0.210806
0.0792805,0.895828
0.752971,0.222225
0.928603,0.112371
0.569424,0.60585
0.0882007,0.784022
0.345963,0.590518
0.348881,0.780283
0.84323,0.770682
0.939791,0.563915
0.513491,0.576048
0.545356,0.260963
0.252053,0.213094
0.477887,0.0320041
0.133512,0.5696
0.780407,0.309982
0.205809,0.636905
0.85913,0.859687
0.972059,0.95878
0.56463,0.787733
0.571755,0.541482
0.132,0.652831
0.433114,0.917717
0.688399,0.480881
0.0447959,0.276344
0.852391,0.628191
0.889154,0.558287
0.771381,0.397747
0.429751,0.141207
0.710807,0.249267
0.559249,0.563263
0.200168,0.491214
0.350901,0.765058
0.723838,0.0592977
0.847031,0.32296
0.864442,0.288468
0.941299,0.418785
0.336502,0.996442
0.477323,0.374413
0.650757,0.0249018
0.653093,0.522119
0.0804055,0.503148
0.900895,0.542247
0.683453,0.851786
0.101054,0.330647
0.893909,0.39426
0.885474,0.660302
0.425361,0.0940773
0.153375,0.236375
0.559335,0.149199
0.437667,0.000405591
0.419191,0.423777
0.420218,0.378966
0.753379,0.755693
0.780595,0.897541
0.41966,0.404136
0.907284,0.433687
0.975934,0.500065
0.351851,0.808179
0.138826,0.659387
0.0536473,0.452905
0.113207,0.0327351
0.126812,0.939121
0.175496,0.538568
0.687766,0.280188
0.280593,0.734831
0.158607,0.125433
0.504399,0.699784
0.455477,0.578825
0.476366,0.257778
0.661914,0.236071
0.669759,0.896026
0.396091,0.569198
0.377377,0.645693
0.30508,0.747942
0.200847,0.516203
0.548938,0.358727
0.297849,0.314054
0.852622,0.67575
0.955938,0.473345
0.208175,0.540389
0.665822,0.236531
0.936315,0.366783
0.945608,0.170221
0.427999,0.391792
0.627863,0.421975
0.318,0.0899137
0.659112,0.297622
0.943315,0.714091
0.462033,0.0364889
0.552692,0.248395
0.607122,0.66288
0.976935,0.10163
0.77738,0.904971
0.378316,0.829557
0.369946,0.733318
0.969849,0.586491
0.953274,0.0357674
0.205989,0.906164
0.297956,0.898882
0.320857,0.633988
0.723902,0.925819
0.223441,0.638857
0.352948,0.383013
0.419502,0.166755
0.41515,0.814982
0.477862,0.972194
0.0738238,0.0222729
0.927244,0.454797
0.284354,0.851204
0.584522,0.30556
0.892051,0.654299
0.690067,0.554371
0.460535,0.845325
0.744207,0.896055
0.530043,0.758491
0.68431,0.0650635
0.703921,0.253945
0.636959,0.90775
0.0745054,0.056869
0.871851,0.0564608
0.0286548,0.489656
0.511929,0.349713
0.80451,0.102479
0.953683,0.439173
0.744732,0.0888636
0.743163,0.538205
0.092576,0.636783
0.482107,0.43323
0.329285,0.553111
0.311602,0.226314
0.291378,0.859329
0.113274,0.995912
0.903662,0.995298
0.0521674,0.750232
0.806693,0.978167
0.467823,0.924018
0.273731,0.835348
0.937826,0.979752
0.418925,0.0782409
0.167104,0.891509
0.429714,0.163657
0.80044,0.910267
0.343497,0.52229
0.0754011,0.282547
0.508861,0.672782
0.532111,0.387003
0.382915,0.800239
0.795537,0.645385
0.395617,0.286577
0.264745,0.847705
0.771723,0.20231
0.0376578,0.732568
0.71232,0.0454541
0.123695,0.975484
0.866993,0.131244
0.294901,0.290799
0.201067,0.296707
0.818996,0.0953408
0.377888,0.544564
0.217346,0.894397
0.281401,0.886749
0.686988,0.749457
0.394842,0.664316
0.950893,0.482525
0.33023,0.790458
0.992768,0.215638
0.948206,0.101953
0.147407,0.0304262
0.00591033,0.660526
0.79177,0.271102
0.561902,0.872903
0.16961,0.0866714
0.182012,0.762968
0.307532,0.988606
0.883004,0.5599
0.446649,0.524878
0.274335,0.164405
0.828721,0.133637
0.616163,0.669177
0.459635,0.779615
0.995253,0.946393
0.048346,0.452404
0.48283,0.943459
0.603984,0.195753
0.466855,0.48874
0.361644,0.395754
0.482426,0.028757
0.791725,0.531254
0.51986,0.664438
0.224338,0.0992575
0.624136,0.402864
0.567269,0.670987
0.804625,0.898471
0.567648,0.39599
0.175605,0.420787
0.36718,0.0272838
0.479688,0.170857
0.114316,0.415526
0.611279,0.962518
0.451258,0.7183
0.114054,0.0781347
0.106892,0.812902
0.344156,0.59648
0.260918,0.898617
0.997875,0.864016
0.26688,0.485257
0.156244,0.622011
0.520482,0.834149
0.230139,0.960868
0.381656,0.0881301
0.115414,0.405744
0.576601,0.748836
0.164362,0.595102
0.557619,0.690917
0.409217,0.775641
0.853776,0.00887705
0.821779,0.523271
0.119752,0.960668
0.859285,0.165934
0.0299502,0.38067
0.865927,0.857159
0.47917,0.29683
0.130979,0.0221705
0.983039,0.999652
0.0877818,0.361119
0.766862,0.364695
0.11353,0.203196
0.798297,0.343464
0.0343803,0.277892
0.0535336,0.355916
0.364793,0.443597
0.966868,0.90731
0.867977,0.186572
0.352506,0.08662
0.46729,0.727262
0.584421,0.382457
0.679287,0.333217
0.355387,0.0635912
0.0632429,0.810266
0.171385,0.338426
0.703121,0.151025
0.354221,0.938247
0.281711,0.816651
0.0945434,0.152518
0.508434,0.316091
0.759688,0.148077
0.0553866,0.873228
0.0597998,0.726557
0.813177,0.923364
